x_acceleration_linear, y_acceleration_linear, z_acceleration_linear, x_velocity_linear, y_velocity_linear, z_velocity_linear, x_position_linear, y_position_linear, z_position_linear, 
-0.0008,-0.0008,0.0016,-0.00610352,-0.00610352,0,0,0,0,
0,-0.0008,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,0,0.0048,-0.00610352,-0.00610352,0,0,0,0,
0.0016,-0.0008,0.0016,0,-0.00610352,0,0,0,0,
0.0024,0,0,0,0,0,0,0,0,
0.0016,-0.004,0.0016,0,-0.00610352,0,0,0,0,
0.0008,-0.0032,0.0024,0,-0.00610352,0,0,0,0,
0,0.0024,0.0016,0,0,0,0,0,0,
0.0008,-0.0024,0.0016,0,-0.00610352,0,0,0,0,
0.0032,-0.0008,0.0008,0,-0.00610352,0,0,0,0,
0.0016,-0.0024,-0.0008,0,-0.00610352,-0.00610352,0,0,0,
0,-0.004,-0.0016,0,-0.00610352,0,0,0,0,
0.0016,0.0024,0,0,0,0,0,0,0,
-0.0024,-0.0016,0.0016,-0.00610352,-0.00610352,0,0,0,0,
0.0008,0.0016,0.0008,0,0,0,0,0,0,
0.0024,-0.0008,0.0032,0,-0.00610352,0,0,0,0,
0.0008,-0.0008,0.0008,0,-0.00610352,0,0,0,0,
0,0.0024,-0.0008,0,0,0,0,0,0,
0,-0.0008,0,-0.00610352,0,-0.00610352,0,0,0,
0.0008,-0.0008,0.0016,0,-0.00610352,0,0,0,0,
-0.0016,0.0008,0.0016,-0.00610352,0,0,0,0,0,
0.0008,0,-0.0024,0,0,-0.00610352,0,0,0,
-0.0016,0.0016,-0.0008,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0,0,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,0.0008,0.0016,-0.00610352,0,0,0,0,0,
-0.0024,-0.0008,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0008,0.0008,-0.00610352,0,0,0,0,0,
-0.0032,0.0008,0.0016,-0.00610352,0,0,0,0,0,
0.0008,-0.0008,-0.0016,0,0,-0.00610352,0,0,0,
-0.0008,0.004,0.0016,0,0,0,0,0,0,
0.0008,0.0024,0,0,0,0,0,0,0,
-0.0016,-0.0024,-0.0008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0.0024,0.0016,-0.0016,0,0,-0.00610352,0,0,0,
0.0008,0.0016,0,0,0,0,0,0,0,
-0.0016,0.0016,0,-0.00610352,0,0,0,0,0,
-0.0008,-0.0008,0.0016,-0.00610352,-0.00610352,0,0,0,0,
0,0.0016,-0.0016,-0.00610352,0,-0.00610352,0,0,0,
0.0008,-0.0016,0,0,-0.00610352,-0.00610352,0,0,0,
-0.0016,0.0016,-0.0016,-0.00610352,0,-0.00610352,0,0,0,
0.0008,-0.0016,-0.0016,0,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.0008,-0.0008,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0,0,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0,-0.004,-0.0032,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0,0,-0.0008,0,-0.00610352,-0.00610352,0,0,0,
0.0016,-0.0032,-0.0016,0,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0016,-0.0008,0,-0.00610352,-0.00610352,0,0,0,
0,-0.0016,0.0016,0,-0.00610352,0,0,0,0,
0,0.0016,0.0024,0,0,0,0,0,0,
0.0032,-0.0008,0.0024,0,-0.00610352,0,0,0,0,
-0.0016,-0.0008,0.0016,-0.00610352,0,0,0,0,0,
0.0016,0.0032,0.0016,0,0,0,0,0,0,
0,-0.0008,0.0008,0,0,0,0,0,0,
-0.0008,-0.0016,0.0024,0,-0.00610352,0,0,0,0,
-0.0008,0.0016,-0.0016,-0.00610352,0,0,0,0,0,
-0.0016,0.0032,0.0016,-0.00610352,0,0,0,0,0,
-0.0008,0.0008,0.0016,-0.00610352,0,0,0,0,0,
0.0024,-0.0008,-0.0008,0,0,0,0,0,0,
0.0008,0,-0.0016,0,-0.00610352,-0.00610352,0,0,0,
0,0.0008,-0.0008,0,0,-0.00610352,0,0,0,
-0.0016,0.0032,-0.0016,-0.00610352,0,-0.00610352,0,0,0,
-0.0008,0.0016,-0.0024,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0.0024,-0.0008,-0.00610352,0,-0.00610352,0,0,0,
-0.0016,0.0016,-0.0024,-0.00610352,0,-0.00610352,0,0,0,
0.0016,0,-0.0016,0,0,-0.00610352,0,0,0,
0.0008,0,-0.0024,0,0,-0.00610352,0,0,0,
0.0016,0.0008,-0.0016,0,0,-0.00610352,0,0,0,
-0.0008,-0.0008,0.0008,0,0,-0.00610352,0,0,0,
-0.0008,-0.0016,-0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0008,0,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0024,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0024,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0024,-0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0008,0.0024,-0.00610352,-0.00610352,0,0,0,0,
-0.0048,-0.0016,0.0024,-0.00610352,-0.00610352,0,0,0,0,
-0.0032,-0.004,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0072,0,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0048,0.0008,-0.00610352,-0.00610352,0,0,0,0,
0.0016,-0.004,0,0,-0.00610352,0,0,0,0,
-0.0008,-0.0048,0,0,-0.00610352,0,0,0,0,
-0.0008,-0.0056,0.0016,-0.00610352,-0.00610352,0,0,0,0,
0.0008,-0.0016,0.0008,0,-0.00610352,0,0,0,0,
0,-0.0024,0,0,-0.00610352,0,0,0,0,
-0.0008,-0.004,0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0048,0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0056,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0032,-0.0048,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0064,0.004,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0056,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0016,0.0024,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.004,0.0048,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0056,0.004,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0048,0.0048,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.004,0.0048,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0032,0.0072,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0032,0.0064,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0024,0.0048,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.004,0.0064,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0032,0.008,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,0.0016,0.0072,-0.00610352,-0.00610352,0,0,0,0,
-0.004,-0.0032,0.0056,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0016,0.0064,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0008,0.0064,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0008,0.0056,-0.00610352,-0.00610352,0,0,0,0,
0,0.0016,0.008,-0.00610352,0,0,0,0,0,
0,0.004,0.0064,0,0,0,0,0,0,
0,0.004,0.0056,0,0,0,0,0,0,
0.0008,0.0048,0.0064,0,0,0,0,0,0,
0.0024,0.0072,0.004,0,0,0,0,0,0,
0.0048,0.0048,0.004,0,0,0,0,0,0,
0.0024,0.0048,0.0064,0,0,0,0,0,0,
0.0024,0.0056,0.004,0,0,0,0,0,0,
0.0008,0.0056,0.0064,0,0,0,0,0,0,
0.0008,0.0048,0.0048,0,0,0,0,0,0,
-0.0016,0.0064,0.0016,-0.00610352,0,0,0,0,0,
0,0.0072,0,-0.00610352,0,0,0,0,0,
-0.0008,0.008,0,-0.00610352,0,0,0,0,0,
0.0008,0.0112,-0.0016,0,0,-0.00610352,0,0,0,
0.0024,0.0112,-0.0016,0,0,-0.00610352,0,0,0,
0.0016,0.0112,-0.0024,0,0,-0.00610352,0,0,0,
0.0016,0.0104,-0.0032,0,0,-0.00610352,0,0,0,
-0.0016,0.0088,-0.0032,0,0,-0.00610352,0,0,0,
-0.0016,0.0096,-0.0024,-0.00610352,0,-0.00610352,0,0,0,
-0.0016,0.008,-0.0072,-0.00610352,0,-0.00610352,0,0,0,
-0.0008,0.0072,-0.0056,-0.00610352,0,-0.00610352,0,0,0,
-0.0008,0.0072,-0.0056,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0.0056,-0.0064,-0.00610352,0,-0.00610352,0,0,0,
0.0016,0.0072,-0.0064,0,0,-0.00610352,0,0,0,
-0.0008,0.008,-0.0072,0,0,-0.00610352,0,0,0,
-0.0016,0.0064,-0.0064,-0.00610352,0,-0.00610352,0,0,0,
0,0.0048,-0.0064,-0.00610352,0,-0.00610352,0,0,0,
-0.0008,0.004,-0.0088,0,0,-0.00610352,0,0,0,
0,0.0008,-0.0088,-0.00610352,0,-0.00610352,0,0,0,
0.0008,0.0016,-0.0104,0,0,-0.00610352,0,0,0,
-0.0008,0.0024,-0.0096,0,0,-0.00610352,0,0,0,
-0.0016,0,-0.008,-0.00610352,0,-0.00610352,0,0,0,
-0.0008,0.0008,-0.008,-0.00610352,0,-0.00610352,0,0,0,
-0.0032,-0.0016,-0.0064,-0.00610352,0,-0.00610352,0,0,0,
0.0008,-0.0032,-0.008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0.0016,-0.0024,-0.0072,0,-0.00610352,-0.00610352,0,0,0,
0.0016,-0.004,-0.0048,0,-0.00610352,-0.00610352,0,0,0,
0,-0.0048,-0.0048,0,-0.00610352,-0.00610352,0,0,0,
0,-0.004,-0.0048,0,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0064,-0.0016,0,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.0064,-0.0024,0,-0.00610352,-0.00610352,0,0,0,
-0.0008,-0.0072,-0.0008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0008,-0.0072,-0.0024,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.0104,-0.0016,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.0096,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0096,0.0024,-0.00610352,-0.00610352,0,0,0,0,
0.0008,-0.0112,0.0016,-0.00610352,-0.00610352,0,0,0,0,
0.0024,-0.0104,0.0008,0,-0.00610352,0,0,0,0,
0.0008,-0.0136,0.0024,0,-0.00610352,0,0,0,0,
0.0008,-0.012,0.0032,0,-0.00610352,0,0,0,0,
-0.0008,-0.0144,0.0048,0,-0.00610352,0,0,0,0,
0.0008,-0.0128,0.008,0,-0.00610352,0,0,0,0,
-0.0008,-0.0112,0.0104,0,-0.00610352,0,0,0,0,
-0.0008,-0.012,0.0096,-0.00610352,-0.00610352,0,0,0,0,
0,-0.0112,0.0088,0,-0.00610352,0,0,0,0,
-0.0008,-0.0072,0.0104,0,-0.00610352,0,0,0,0,
0,-0.0048,0.0104,0,-0.00610352,0,0,0,0,
-0.0016,-0.0032,0.012,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,-0.0032,0.012,-0.00610352,-0.00610352,0,0,0,0,
0,-0.004,0.0136,-0.00610352,-0.00610352,0,0,0,0,
0.0008,-0.0072,0.0128,0,-0.00610352,0,0,0,0,
-0.0016,-0.0056,0.0144,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.0056,0.0152,-0.00610352,-0.00610352,0,0,0,0,
0,-0.0032,0.0144,-0.00610352,-0.00610352,0,0,0,0,
-0.0008,0,0.0144,-0.00610352,-0.00610352,0,0,0,0,
0,0,0.0136,-0.00610352,0,0,0,0,0,
0.0016,-0.0008,0.0144,0,0,0,0,0,0,
0.0016,-0.0032,0.0128,0,-0.00610352,0,0,0,0,
0.0024,0.0024,0.0136,0,-0.00610352,0,0,0,0,
0.0016,0.0032,0.0128,0,0,0,0,0,0,
0.0032,0.0056,0.0144,0,0,0,0,0,0,
0.0016,0.0048,0.0128,0,0,0,0,0,0,
0.0016,0.0048,0.0104,0,0,0,0,0,0,
0.0016,0.0048,0.012,0,0,0,0,0,0,
0.0024,0.0064,0.0088,0,0,0,0,0,0,
0.004,0.0064,0.0048,0,0,0,0,0,0,
0.004,0.008,0.0072,0,0,0,0,0,0,
0.0008,0.012,0.0064,0,0,0,0,0,0,
0.0024,0.012,0.0048,0,0,0,0,0,0,
0.0032,0.012,0.0024,0,0,0,0,0,0,
0.0016,0.0104,0.0008,0,0,0,0,0,0,
0.0024,0.0128,0.0008,0,0,0,0,0,0,
0.0024,0.0112,-0.0008,0,0,0,0,0,0,
0.0016,0.012,-0.0024,0,0,-0.00610352,0,0,0,
0.0016,0.0128,0,0,0,-0.00610352,0,0,0,
-0.0008,0.0144,-0.0032,0,0,-0.00610352,0,0,0,
-0.0032,0.012,-0.004,-0.00610352,0,-0.00610352,0,0,0,
-0.0016,0.0096,-0.0064,-0.00610352,0,-0.00610352,0,0,0,
0.0008,0.0088,-0.008,-0.00610352,0,-0.00610352,0,0,0,
0.0016,0.0088,-0.0096,0,0,-0.00610352,0,0,0,
-0.0008,0.008,-0.0064,0,0,-0.00610352,0,0,0,
-0.0024,0.008,-0.0088,-0.00610352,0,-0.00610352,0,0,0,
0.0008,0.008,-0.0088,-0.00610352,0,-0.00610352,0,0,0,
0,0.0048,-0.0088,0,0,-0.00610352,0,0,0,
-0.0008,0.0024,-0.0096,0,0,-0.00610352,0,0,0,
0,0.0032,-0.0096,0,0,-0.00610352,0,0,0,
-0.0008,0.0008,-0.0096,0,0,-0.00610352,0,0,0,
-0.0032,0.0016,-0.0104,-0.00610352,0,-0.00610352,0,0,0,
-0.0032,-0.0016,-0.0104,-0.00610352,0,-0.00610352,0,0,0,
0,-0.0008,-0.0104,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0016,-0.0096,0,-0.00610352,-0.00610352,0,0,0,
0,-0.0024,-0.0072,0,-0.00610352,-0.00610352,0,0,0,
0,-0.0024,-0.0072,0,-0.00610352,-0.00610352,0,0,0,
0.0024,-0.0016,-0.0072,0,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0048,-0.0056,0,-0.00610352,-0.00610352,0,0,0,
0,-0.0064,-0.0056,0,-0.00610352,-0.00610352,0,0,0,
0,-0.008,-0.004,0,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0096,-0.0032,0,-0.00610352,-0.00610352,0,0,0,
0.0016,-0.012,-0.0024,0,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0104,0,0,-0.00610352,-0.00610352,0,0,0,
0,-0.0112,-0.0008,0,-0.00610352,-0.00610352,0,0,0,
-0.0008,-0.0136,0.0016,0,-0.00610352,0,0,0,0,
0,-0.0096,0.0008,0,-0.00610352,0,0,0,0,
0,-0.0144,0,0,-0.00610352,0,0,0,0,
0,-0.0152,0.0032,0,-0.00610352,0,0,0,0,
-0.0032,-0.0168,0.004,-0.00610352,-0.00610352,0,0,0,0,
-0.0048,-0.0128,0.0056,-0.00610352,-0.00610352,0,0,0,0,
-0.004,-0.0136,0.004,-0.00610352,-0.00610352,0,0,0,0,
-0.004,-0.0144,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.004,-0.0136,0.0048,-0.00610352,-0.00610352,0,0,0,0,
-0.004,-0.012,0.0048,-0.00610352,-0.00610352,0,0,0,0,
-0.0056,-0.0112,0.004,-0.00610352,-0.00610352,0,0,0,0,
-0.0048,-0.0096,0.004,-0.00610352,-0.00610352,0,0,0,0,
-0.004,-0.0088,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.0056,-0.0088,0.0016,-0.00610352,-0.00610352,0,0,0,0,
-0.0072,-0.0064,0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0072,-0.0048,0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0056,-0.0032,-0.0024,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0048,-0.0016,-0.0016,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0056,0,-0.0024,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0056,0.0008,-0.0048,-0.00610352,0,-0.00610352,0,0,0,
-0.0056,0.0016,-0.0048,-0.00610352,0,-0.00610352,0,0,0,
-0.008,0,-0.004,-0.00610352,0,-0.00610352,0,0,0,
-0.0088,-0.0016,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0072,0,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0048,0.0016,-0.0072,-0.00610352,0,-0.00610352,0,0,0,
-0.0032,0.0032,-0.0072,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0.004,-0.008,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0.004,-0.008,-0.00610352,0,-0.00610352,0,0,0,
-0.0024,0.0048,-0.0104,-0.00610352,0,-0.00610352,0,0,0,
0.0008,0.0064,-0.0112,-0.00610352,0,-0.00610352,0,0,0,
0.0032,0.008,-0.0104,0,0,-0.00610352,0,0,0,
0.0024,0.0064,-0.0112,0,0,-0.00610352,0,0,0,
0.0024,0.008,-0.0104,0,0,-0.00610352,0,0,0,
0.0008,0.0104,-0.0096,0,0,-0.00610352,0,0,0,
0.0024,0.0072,-0.0112,0,0,-0.00610352,0,0,0,
0.004,0.0096,-0.0128,0,0,-0.00610352,0,0,0,
0.0056,0.0096,-0.0104,0,0,-0.00610352,0,0,0,
0.0048,0.0096,-0.0088,0,0,-0.00610352,0,0,0,
0.008,0.0088,-0.0088,0,0,-0.00610352,0,0,0,
0.0072,0.0096,-0.0064,0,0,-0.00610352,0,0,0,
0.0096,0.008,-0.0064,0,0,-0.00610352,0,0,0,
0.008,0.0088,-0.0064,0,0,-0.00610352,0,0,0,
0.0072,0.0088,-0.0064,0,0,-0.00610352,0,0,0,
0.0096,0.0072,-0.0048,0,0,-0.00610352,0,0,0,
0.0104,0.008,-0.0064,0,0,-0.00610352,0,0,0,
0.0096,0.0056,-0.0048,0,0,-0.00610352,0,0,0,
0.0088,0.0064,-0.0048,0,0,-0.00610352,0,0,0,
0.008,0.008,-0.0032,0,0,-0.00610352,0,0,0,
0.0096,0.0056,0,0,0,-0.00610352,0,0,0,
0.012,0.0072,0.0008,0,0,0,0,0,0,
0.0112,0.0072,-0.0008,0,0,0,0,0,0,
0.0096,0.008,-0.0008,0,0,-0.00610352,0,0,0,
0.0072,0.0048,0.0024,0,0,0,0,0,0,
0.0088,0.0064,0.0048,0,0,0,0,0,0,
0.0088,0.0024,0.0048,0,0,0,0,0,0,
0.008,0.0032,0.0048,0,0,0,0,0,0,
0.0088,0.0032,0.008,0,0,0,0,0,0,
0.0072,0.0008,0.0056,0,0,0,0,0,0,
0.0064,-0.0008,0.0072,0,0,0,0,0,0,
0.0056,-0.0008,0.0072,0,-0.00610352,0,0,0,0,
0.0048,-0.0008,0.0088,0,-0.00610352,0,0,0,0,
0.0056,-0.0024,0.0088,0,-0.00610352,0,0,0,0,
0.004,-0.0016,0.0112,0,-0.00610352,0,0,0,0,
0.0056,-0.0032,0.0096,0,-0.00610352,0,0,0,0,
0.004,-0.0032,0.0088,0,-0.00610352,0,0,0,0,
0.0024,-0.0048,0.008,0,-0.00610352,0,0,0,0,
0.0032,-0.0024,0.0056,0,-0.00610352,0,0,0,0,
0.0016,-0.0008,0.0072,0,-0.00610352,0,0,0,0,
0.0008,-0.0008,0.0088,0,-0.00610352,0,0,0,0,
0,0,0.0064,0,-0.00610352,0,0,0,0,
-0.0024,-0.0024,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.0032,-0.0016,0.0032,-0.00610352,-0.00610352,0,0,0,0,
-0.0032,-0.0032,0.0024,-0.00610352,-0.00610352,0,0,0,0,
-0.0016,-0.004,0,-0.00610352,-0.00610352,0,0,0,0,
-0.0024,-0.0024,-0.0008,-0.00610352,-0.00610352,0,0,0,0,
-0.0056,-0.004,0,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.0008,-0.0032,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0064,-0.0024,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0072,-0.004,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0056,-0.0024,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0072,-0.0008,-0.0072,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0096,-0.004,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0096,-0.004,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0096,-0.0048,-0.008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.008,-0.0048,-0.0096,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0088,-0.0032,-0.0088,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0072,-0.0016,-0.0096,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0088,-0.0048,-0.0136,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0088,-0.0032,-0.0104,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.008,-0.0048,-0.012,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0088,-0.0032,-0.0104,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0072,-0.0008,-0.0096,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0056,-0.0024,-0.0096,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0072,-0.0008,-0.0104,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.0032,-0.0128,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.004,-0.012,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.004,-0.0104,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0032,-0.012,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0008,-0.0032,-0.0096,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0024,-0.0072,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0008,-0.0016,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0024,-0.0016,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.0024,-0.0024,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0,-0.0008,0,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0.0024,0,0.0032,0,-0.00610352,0,0,0,0,
0.0016,0,0.0032,0,0,0,0,0,0,
0.004,-0.0032,0.004,0,-0.00610352,0,0,0,0,
0.0032,-0.0032,0.0072,0,-0.00610352,0,0,0,0,
0.0024,-0.0024,0.0064,0,-0.00610352,0,0,0,0,
0.0048,-0.0008,0.008,0,-0.00610352,0,0,0,0,
0.004,-0.0016,0.008,0,-0.00610352,0,0,0,0,
0.004,-0.0008,0.0096,0,-0.00610352,0,0,0,0,
0.0024,-0.0008,0.012,0,-0.00610352,0,0,0,0,
0.0008,-0.0008,0.0152,0,-0.00610352,0,0,0,0,
0.0024,0.0008,0.0144,0,0,0,0,0,0,
0.004,0,0.016,0,0,0,0,0,0,
0.0032,0.0008,0.0168,0,0,0,0,0,0,
0.0024,0.0016,0.0176,0,0,0,0,0,0,
0.0032,0.0016,0.0184,0,0,0,0,0,0,
0.0032,0.0024,0.02,0,0,0,0,0,0,
0.0056,0.0016,0.02,0,0,0,0,0,0,
0.0008,0.0024,0.0208,0,0,0,0,0,0,
0.0008,0.0024,0.0208,0,0,0,0,0,0,
-0.0016,0.0008,0.0216,0,0,0,0,0,0,
0,0.0048,0.0216,-0.00610352,0,0,0,0,0,
0,0.0048,0.02,0,0,0,0,0,0,
0.0008,0.0016,0.0184,0,0,0,0,0,0,
0.0008,0.0016,0.0184,0,0,0,0,0,0,
0,0,0.0192,0,0,0,0,0,0,
0,0.0024,0.0176,0,0,0,0,0,0,
0.0016,0.0016,0.0136,0,0,0,0,0,0,
-0.0008,0.0032,0.0144,0,0,0,0,0,0,
0,0.004,0.0152,-0.00610352,0,0,0,0,0,
-0.0016,0.004,0.0112,-0.00610352,0,0,0,0,0,
-0.0016,0.0008,0.012,-0.00610352,0,0,0,0,0,
0.0016,0.004,0.0112,0,0,0,0,0,0,
0.0008,0.0016,0.0096,0,0,0,0,0,0,
0.0024,0.0008,0.0096,0,0,0,0,0,0,
0.0032,0,0.0088,0,0,0,0,0,0,
0.0024,0.0016,0.0088,0,0,0,0,0,0,
0.0008,0.0032,0.0096,0,0,0,0,0,0,
0.0008,0.0016,0.0056,0,0,0,0,0,0,
0.0008,0.0016,0.004,0,0,0,0,0,0,
0,0,0.0056,0,0,0,0,0,0,
0.0008,0,0.0048,0,0,0,0,0,0,
0,0.0008,0.0016,0,0,0,0,0,0,
0,-0.0008,-0.0008,0,0,0,0,0,0,
-0.0024,-0.0032,-0.0008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0024,-0.0032,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0.0008,-0.0016,-0.004,-0.00610352,-0.00610352,-0.00610352,0,0,0,
0.0024,-0.0032,-0.0048,0,-0.00610352,-0.00610352,0,0,0,
0,-0.004,-0.0072,0,-0.00610352,-0.00610352,0,0,0,
-0.0008,-0.0048,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.0048,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.0048,-0.004,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.004,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.0048,-0.004,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0056,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.0024,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0048,-0.0096,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.0048,-0.008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.004,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0048,-0.0088,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0048,-0.008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.0048,-0.008,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.004,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0016,-0.004,-0.0072,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0048,-0.0064,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0024,-0.0048,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.004,-0.004,-0.0072,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0048,-0.004,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.0056,-0.0064,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0032,-0.0024,-0.0048,-0.00610352,-0.00610352,-0.00610352,0,0,0,
-0.0056,-0.004,-0.0056,-0.00610352,-0.00610352,-0.00610352,0,0,0,
